ProductAffected_2,ProductAffected_1,Roo_demin,Coo_valid,FtaType,RooCode_3,Roo_draw,Coo_ver,Roo_packaging,Coo_refund,FtaStatusDesc,Coo_coo,FtaName,Roo_outward,Roo_exhibitions,Coo_err,RooText_0,Coo_retention,FtaCode,Coo_tpi,Roo_trans,Roo_accessories,Roo_fungible,Roo_sets,FtaStatusDate,Coo_exmptcoo,RooCode_2,RooCode_4,Roo_accum,Roo_indir,RooText_3,ProductAffected_4,RooCode_1,ProductAffected_0,Coo_comp,RooText_1,Coo_pen,Coo_app,RooText_2,Roo_mo,Roo_rvcformula,FtaId,RooCode_0,Roo_wo,Roo_roll,RooText_4,Coo_sup,MFN,Coo_approved,Preferential,Coo_adv,ProductAffected_3,Roo_terr,FtaScope
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A14TM 06: Argentina-Brazil-Uruguay,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00001,provided,included,not included,not included,not included,15.07.1994,not included,,,diagonal,not included,,,,,not provided,,not provided,not provided,,provided,included,1,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Plurilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A14TM 07: Brazil-Uruguay,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00002,provided,included,not included,not included,not included,30.12.1992,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,2,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 06: Colombia for Nicaragua,not included,not included,not provided,"c) aquellos bienes elaborados con insumos de terceros países, cuando éstos han sido objeto de transformación sustancial en el territorio de los países signatarios y siempre y cuando el producto final se clasifique en una posición diferente de cuatro dígitos en la Nomenclatura Arancelaria de Bruselas, modificada por la Asociación Latinoamericana de Libre Comercio. Sin embargo, cuando tales procesos consistan exclusivamente del simple ensamblaje, empaque, separación, selección clasificación, marcas u otros equivalentes, tales bienes no se considerarán originarios; d) aquellos bienes ensamblados en cualesquiera de los países signatarios que utilicen insumos importados de terceros países cuando el valor CIF de los últimos sea menor al 50% del valor FOB de los primeros;",not provided,ITC00004,not provided,not included,not included,not included,not included,02.09.1985,not included,,,not included,not included,,,,,not provided,,not provided,not provided,,provided,not included,4,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 07: Colombia for Costa Rica,not included,not included,not provided,"c) aquellos bienes elaborados con insumos de terceros países, cuando éstos han sido objeto de transformación sustancial en el territorio de los países signatarios y siempre y cuando el producto final se clasifique en una posición diferente de cuatro dígitos en la Nomenclatura Arancelaria de Bruselas, modificada por la Asociación Latinoamericana de Libre Comercio. Sin embargo, cuando tales procesos consistan exclusivamente del simple ensamblaje, empaque, separación, selección, clasificación, marcas u otros equivalentes, tales bienes no se considerarán originarios; d) aquellos bienes ensamblados en cualesquiera de los países signatarios que utilicen insumos importados de terceros países cuando el valor CIF de los últimos sea menor al 50% del valor FOB de los primeros;",not provided,ITC00005,not provided,not included,not included,not included,not included,02.09.1985,not included,,,not included,not included,,,,,not provided,,not provided,not provided,,provided,not included,5,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 16: Venezuela for Honduras,not included,not included,not provided,"c) Aquellos bienes elaborados con insumos de terceros países, cuando estos han sido objeto de transformación sustancial en el territorio de los países signatarios y siempre y cuando el producto final se clasifique en una posición diferente de cuatro dígitos en la nomenclatura arancelaria del país exportador. Sin embargo, cuando tales procesos consistan exclusivamente en simple ensamblaje, empaque, separación, selección, clasificación, marcas u otros equivalentes, tales bienes no se considerarán originarios; d) Aquellos bienes ensamblados en cualquiera de los países signatarios que utilicen insumos importados de terceros países, cuando el valor CIF de los últimos sea menor del 50 por ciento del valor FOB de los primeros;",not provided,ITC00009,not provided,not included,not included,not included,not included,14.05.1986,not included,,,cross-cumulation,not included,,,,,not provided,,not provided,not provided,,provided,included,9,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 20: Venezuela for Trinidad and Tobago,not included,not included,not provided,"c) Los productos en cuya elaboración se utilicen materiales que no sean originarios de los países signatarios del presente Acuerdo, cuando resulten de un proceso de transformación realizado en el territorio de alguno de ellos, que les confiera una nueva individualidad, caracterizada por el hecho de estar clasificados en la Nomenclatura Arancelaria de Bruselas, en posición diferente a la de dichos materiales. No obstante, no serán considerados como originarios los productos que resulten de operaciones o procesos efectuados en el territorio de un país signatario por los cuales adquieran la forma final en que serán comercializados, cuando en dichas operaciones o procesos se utilicen exclusivamente materiales o insumos que no sean originarios de sus respectivos países y consistan solamente en montajes o ensambles, fraccionamiento en lotes de volúmenes, selección, clasificación ,marcación, composición de surtidos de mercaderías u otras operaciones o procesos semejantes. d) Los productos que resulten de operaciones de ensamble y montaje realizadas en el territorio de un país signatario, utilizando materiales originarios de los países signatarios y de terceros países cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países, no exceda del cincuenta (50) por ciento del valor FOB de dichos productos.",not provided,ITC00010,not provided,not included,not included,not included,not included,31.08.1989,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,10,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 23: Venezuela for Guatemala,not included,not included,not provided,"c) Aquellos bienes elaborados con insumos de terceros países, cuando éstos han sido objeto de transformación sustancial en el territorio de los países signatarios y siempre y cuando el producto final se clasifique en una posición diferente de cuatro dígitos en la Nomenclatura Arancelaria del país exportador. Sin embargo, cuando tales procesos consistan exclusivamente en simple ensamblaje, empaque, separación, selección, clasificación, marcas u otros equivalentes, tales bienes no se considerarán originarios. d) Aquellos bienes ensamblados en cualquiera de los países signatarios que utilicen insumos importados de terceros países, cuando el valor CIF de los últimos sea menor del 50% del valor FOB de los primeros.",not provided,ITC00012,not provided,not included,not included,not included,not included,06.02.1986,not included,,,cross-cumulation,not included,,,,,not provided,,not provided,not provided,,provided,not included,12,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,provided,not included,not included,IN FORCE,authorized body,AAP.A25TM 24: CARICOM-Venezuela,not included,not included,not provided,"(c) Items manufactured using materials from third countries provided that they result from a process of substantial transformation, carried out in the territory of CARICOM Member Countries, which creates a different product characterised by the fact of being classified within the Harmonised Commodity Description and Coding System in a heading different from that of such materials. (d) Items that are the result of assembly operations which constitute a process of substantial transformation, carried out in the territory of a CARICOM Member Country and in the production of which materials from such countries, from Venezuela and from third countries are used, when the destination port c.i.f. value or the maritime port c.i.f. value of the materials from third countries does not exceed 50 per cent of the f.o.b. export value of such products.",not provided,ITC00013,not provided,included,not included,not included,not included,01.01.2005,not included,,,diagonal,not included,,,,,provided,,not provided,not provided,,provided,import content,13,CTH and RVC 50%,provided,not included,,not provided,,not included,,not provided,,not included,"Plurilateral, Country-Group"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 25: Venezuela for Nicaragua,not included,not included,not provided,"c) Aquellos bienes elaborados con insumos de terceros países, cuando éstos han sido objeto de transformación sustancial en el territorio de los países signatarios y siempre y cuando el producto final se clasifique en una posición diferente de cuatro dígitos en la Nomenclatura Arancelaria del país exportador. Sin embargo, cuando tales procesos consistan exclusivamente en simple ensamblaje, empaque, separación, clasificación, marcas u otros equivalentes, tales bienes no se considerarán originarios . d) Aquellos bienes ensamblados en cualquiera de los países signatarios que utilicen insumos importados de terceros países, cuando el valor CIF de los últimos sea menor del 50% del valor FOB de los primeros.",not provided,ITC00014,not provided,not included,not included,not included,not included,26.02.1992,not included,,,cross-cumulation,not included,,,,,not provided,,not provided,not provided,,provided,included,14,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
,,not included,not provided,Non-reciprocal arrangement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 26: Venezuela for Costa Rica,not included,not included,not provided,"c) Aquellos bienes con insumos de terceros países, cuando éstos han sido objeto de transformación sustancial en el territorio de los países signatarios y siempre y cuando el producto final se clasifique en una posición diferente de cuatro dígitos en la Nomenclatura Arancelaria del país exportador; Sin embargo, cuando tales procesos consistan exclusivamente en simple ensamblaje, empaque, separación, selección, clasificación, marcas u otros equivalentes, tales bienes no se consideran originarios. d) Aquellos bienes ensamblados en cualquiera de los países signatarios que utilicen insumos importados de terceros países, cuando el valor CIF de los últimos sea mayor del 50% del valor FOB de los primeros.",not provided,ITC00015,not provided,not included,not included,not included,not included,09.07.1986,not included,,,not included,not included,,,,,not provided,,not provided,not provided,,provided,included,15,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Unilateral, Country-Country"
