Coo_tpi,Coo_app,Roo_outward,productCode,reporter,FtaScope,Roo_packaging,Roo_fungible,FtaCode,Roo_exhibitions,Roo_wo,FtaName,Coo_valid,Coo_comp,Roo_indir,RooCode_1,Coo_exmptcoo,RooText_1,Roo_demin,Coo_pen,FtaId,RooCode_0,Coo_err,Roo_rvcformula,Coo_ver,Roo_accum,Coo_refund,Preferential,RooText_0,FtaType,partner,Roo_trans,Coo_coo,Coo_retention,FtaStatusDate,rank,Roo_sets,MFN,Roo_mo,Roo_draw,Coo_sup,Roo_roll,Roo_accessories,Roo_terr,Coo_adv,ProductAffected_0,Coo_approved,ProductAffected_1,FtaStatusDesc
,,,8703900000,458,,,,,,,,,,,,,,,,199,,,,,,,,,,104,,,,,1,,,,,,,,,,,,,
not provided,not provided,not included,8703900000,699,"Plurilateral, Country-Country",included,not included,ITC00069,included,provided,APTA (formerly Bangkok Agreement),1 year,provided,not included,,not included,,not included,not provided,68,RVC 45% (35% for APTA LDCs),provided,import content,Indirect,diagonal,not included,,"(a) Within the meaning of Rule 1(b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from nonParticipating States or of undetermined origin used does not exceed 55 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting Participating State shall be eligible for preferential concessions, subject to the provisions of Rule 3(c), (d) and (e). RULE 10: Special criteria percentage Products originating in least developed Participating States can be allowed a favorable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 65 percent, and for Rule 4, the percentage would not be less than 50 percent.",Partial scope agreement,496,included,authorized body,2 years,01.01.2021,4,not included,,provided,not included,provided,not included,not included,not included,not provided,,not included,,IN FORCE
,,,8703900000,764,,,,,,,,,,,,,,,,94,,,,,,,,,,096,,,,,3,,,,,,,,,,,,,
,,,8703900000,418,,,,,,,,,,,,,,,,139,,,,,,,,,,096,,,,,5,,,,,,,,,,,,,
,,,8703900000,757,,,,,,,,,,,,,,,,337,,,,,,,,,,579,,,,,3,,,,,,,,,,,,,
not provided,not provided,not included,8703900000,699,"Plurilateral, Country-Country",included,not included,ITC00903,not included,provided,GSTP,not provided,not provided,not included,,not included,,not included,not provided,873,RVC 50% (40% for GSTP LDCs),not provided,not included,not provided,diagonal,not included,,"(a) Within the meaning of Rule 1 (b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from non-participants or of undetermined origin used does not exceed 50 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting participant shall be eligible for preferential concessions subject to the provisions of Rule 3 (c) and Rule 4. RULE 10: Special criteria percentage Products originating in participating least developed countries can be allowed a favourable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 60 percent, and for Rule 4, the percentage would not be less than 50 per cent.",Partial scope agreement,144,included,authorized body,not provided,19.04.1989,3,not included,,not provided,not included,not provided,not included,not included,not included,not provided,,not included,,IN FORCE
,,,8703900000,418,,,,,,,,,,,,,,,,94,,,,,,,,,,104,,,,,1,,,,,,,,,,,,,
,,,8703900000,458,,,,,,,,,,,,,,,,852,,,,,,,,,,392,,,,,2,,,,,,,,,,,,,
,,,8703900000,418,,,,,,,,,,,,,,,,199,,,,,,,,,,096,,,,,3,,,,,,,,,,,,,
,,,8703900000,1012,,,,,,,,,,,,,,,,873,,,,,,,,,,032,,,,,1,,,,,,,,,,,,,
,,,8703900000,458,,,,,,,,,,,,,,,,94,,,,,,,,,,096,,,,,3,,,,,,,,,,,,,
,,,8703900000,360,,,,,,,,,,,,,,,,94,,,,,,,,,,116,,,,,4,,,,,,,,,,,,,
,,,8703900000,699,,,,,,,,,,,,,,,,68,,,,,,,,,,410,,,,,3,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,139,,,,,,,,,,392,,,,,4,,,,,,,,,,,,,
,,,8703900000,764,,,,,,,,,,,,,,,,199,,,,,,,,,,104,,,,,1,,,,,,,,,,,,,
,,,8703900000,484,,,,,,,,,,,,,,,,852,,,,,,,,,,152,,,,,1,,,,,,,,,,,,,
,,,8703900000,410,,,,,,,,,,,,,,,,68,,,,,,,,,,410,,,,,3,,,,,,,,,,,,,
,,,8703900000,579,,,,,,,,,,,,,,,,337,,,,,,,,,,438,,,,,2,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,94,,,,,,,,,,702,,,,,1,,,,,,,,,,,,,
,,,8703900000,699,,,,,,,,,,,,,,,,150,,,,,,,,,,392,,,,,1,,,,,,,,,,,,,
,,,8703900000,156,,,,,,,,,,,,,,,,68,,,,,,,,,,410,,,,,1,,,,,,,,,,,,,
,,,8703900000,699,,,,,,,,,,,,,,,,100,,,,,,,,,,410,,,,,3,,,,,,,,,,,,,
,,,8703900000,579,,,,,,,,,,,,,,,,124,,,,,,,,,,352,,,,,1,,,,,,,,,,,,,
,,,8703900000,842,,,,,,,,,,,,,,,,465,,,,,,,,,,410,,,,,4,,,,,,,,,,,,,
not provided,provided,not included,8703900000,352,"Bilateral, Country-Country",included,not included,ITC00287,not included,provided,"FTA, China-Iceland",1 year (for single shipment),provided,included,,included (less than US$600),,included (10%),not provided,281,CTH and RVC 50%,not provided,build down,Indirect,bilateral,within 1 year,,"Change to this heading from any other heading, provided that there is a Regional Value Content of not less than 50%",Free trade agreement,156,included,authorized body,3 years,01.07.2014,4,not included,,provided,not included,provided,included,included,included,provided,,included,,IN FORCE
not provided,not provided,not included,8703900000,410,"Plurilateral, Country-Country",included,not included,ITC00903,not included,provided,GSTP,not provided,not provided,not included,,not included,,not included,not provided,873,RVC 50% (40% for GSTP LDCs),not provided,not included,not provided,diagonal,not included,,"(a) Within the meaning of Rule 1 (b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from non-participants or of undetermined origin used does not exceed 50 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting participant shall be eligible for preferential concessions subject to the provisions of Rule 3 (c) and Rule 4. RULE 10: Special criteria percentage Products originating in participating least developed countries can be allowed a favourable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 60 percent, and for Rule 4, the percentage would not be less than 50 per cent.",Partial scope agreement,144,included,authorized body,not provided,19.04.1989,3,not included,,not provided,not included,not provided,not included,not included,not included,not provided,,not included,,IN FORCE
