Roo_terr,FtaCode,Roo_demin,ProductAffected_1,Roo_roll,Coo_ver,Coo_tpi,Roo_packaging,Coo_approved,Coo_adv,partner,Coo_refund,FtaId,Coo_exmptcoo,reporter,FtaStatusDesc,Roo_draw,ProductAffected_0,FtaStatusDate,Coo_sup,FtaName,rank,Roo_rvcformula,Roo_exhibitions,Coo_comp,Coo_app,Roo_fungible,Roo_wo,FtaScope,Roo_accessories,RooCode_0,Roo_mo,Roo_sets,RooText_0,FtaType,Coo_coo,Roo_trans,Roo_indir,RooCode_1,Coo_retention,Roo_outward,Coo_valid,productCode,Roo_accum,Coo_err,Coo_pen,RooText_1
,,,,,,,,,,704,,852,,554,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,484,,852,,152,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,392,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00048,included,,included,Indirect,not provided,included,not included,not provided,484,within 30 days,48,not included,076,IN FORCE,not included,,15.01.2003,not provided,AAP.CE 55: MERCOSUR-Mexico,2,included,not included,not provided,not provided,materials only,provided,"Plurilateral, Country-Group",included,"RVC 60% (for Argentina, Brazil), RVC 50% (for Uruguay), RVC 30% (for Mexico)",not provided,included (RVC 93%),"2 Salvo por lo dispuesto en el párrafo 5 de este Artículo, un producto automotor contenido en los literales a) al d) del Artículo 3° del Acuerdo será considerado como originario si, como resultado de un proceso de producción realizado enteramente en el territorio de Argentina o Brasil el ICR es al menos de 60 por ciento, en el caso de Uruguay es al menos de 50 por ciento o en el caso de México, es al menos de: Año 2002 20% 2003 20% 2004 25% 2005 27% 2006 en adelante 30%",Partial scope agreement,authorized body,included,included,,5 years,included,180 days,8703900000,diagonal,not provided,provided,
,,,,,,,,,,096,,852,,036,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,704,,852,,484,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,392,,852,,152,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,554,within 1 year,852,included (less than US$1000),124,IN FORCE,not included,,30.12.2018,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,484,,852,,458,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,152,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,702,,852,,096,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,484,,852,,392,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,604,,852,,554,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,604,,852,,484,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,458,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,484,within 1 year,852,included (less than US$1000),124,IN FORCE,not included,,30.12.2018,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,702,,852,,036,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,702,within 1 year,852,included (less than US$1000),554,IN FORCE,not included,,30.12.2018,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,858,,48,,600,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,702,,852,,152,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,096,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,458,,852,,124,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,702,,852,,458,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,036,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
