Preferential,ProductAffected_2,FtaName,Roo_trans,Roo_packaging,Coo_retention,FtaCode,RooText_2,Coo_pen,ProductAffected_0,Coo_valid,productCode,ProductAffected_1,FtaStatusDesc,RooText_4,ProductAffected_4,Roo_wo,RooCode_1,partner,Roo_sets,MFN,Roo_demin,Coo_comp,Roo_outward,RooText_1,RooCode_0,Roo_rvcformula,Coo_err,Roo_accum,Roo_roll,rank,Roo_exhibitions,Coo_ver,FtaStatusDate,Coo_sup,ProductAffected_3,Coo_coo,Coo_app,RooText_3,RooCode_3,FtaId,FtaType,FtaScope,reporter,Roo_mo,Coo_tpi,Roo_indir,RooText_0,Coo_adv,Roo_draw,Roo_fungible,Coo_approved,Roo_terr,Roo_accessories,Coo_refund,RooCode_4,RooCode_2,Coo_exmptcoo
,,,,,,,,,,,8703900000,,,,,,,608,,,,,,,,,,,,5,,,,,,,,,,103,,,554,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,450,,,,,,,,,,,,1,,,,,,,,,,853,,,108,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,516,,,,,,,,,,,,2,,,,,,,,,,853,,,266,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,678,,,,,,,,,,,,1,,,,,,,,,,853,,,178,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,104,,,,,,,,,,,,5,,,,,,,,,,103,,,096,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,716,,,,,,,,,,,,3,,,,,,,,,,146,,,231,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,500,,,,,,,,,,,,1,,,,,,,,,,92,,,212,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,728,,,,,,,,,,,,1,,,,,,,,,,853,,,174,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,694,,,,,,,,,,,,1,,,,,,,,,,853,,,480,,,,,,,,,,,,,,
,,"FTA, Mauritius-Turkey",included,included,3 years,ITC00483,,provided,,10 months,8703900000,,IN FORCE,,,provided,RVC 60%,792,included (RVC 85%),,included (15%),provided,not included,Manufacture In which the value of all the materials used does not exceed 40% of the ex-works price of the product,RVC 60%,import content,provided,full+cross-cumulation,included,3,included,Indirect,01.06.2013,provided,,authorized body (self-certification if value < EUR 6000),provided,,,478,Free trade agreement,"Bilateral, Country-Country",480,provided,not provided,included,Manufacture in which the value of all the materials used does not exceed 40% of the ex-works price of the product,not provided,not included,not included,included,included,included,included,,,included (less than EUR500)
,,,,,,,,,,,8703900000,,,,,,,458,,,,,,,,,,,,2,,,,,,,,,,692,,,418,,,,,,,,,,,,,,
,,"Regional group, SADC",included,included,5 years,ITC00675,,provided,,not provided,8703900000,,IN FORCE,,,provided,,716,included,,included (15%),not provided,not included,,SP and RVC 45%,import content,not provided,diagonal,included,2,not included,provided,25.01.2001,not provided,,authorized body,not provided,,,657,Free trade agreement,"Plurilateral, Country-Country",454,provided,not provided,included,"Manufacture in which the value of all the materials used does not exceed 55% of the ex-works price of the product; the manufacture or assembly of the vehicle entails that the floor panels, body sides and roof panels must be attached to each other ; and the engine, transmission, axles, radiators, suspension components, steering mechanisms, braking or electrical equipment or instrumentation must be fitted to the floor panels or chassis frame of the vehicle",not provided,not included,materials only,not included,not included,included,not included,,,not included
,,,,,,,,,,,8703900000,,,,,,,659,,,,,,,,,,,,2,,,,,,,,,,141,,,084,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,776,,,,,,,,,,,,1,,,,,,,,,,632,,,520,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,862,,,,,,,,,,,,2,,,,,,,,,,178,,,170,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,690,,,,,,,,,,,,1,,,,,,,,,,853,,,012,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,678,,,,,,,,,,,,3,,,,,,,,,,853,,,450,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,426,,,,,,,,,,,,3,,,,,,,,,,853,,,148,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,659,,,,,,,,,,,,2,,,,,,,,,,269,,,328,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,232,,,,,,,,,,,,3,,,,,,,,,,853,,,231,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,242,,,,,,,,,,,,2,,,,,,,,,,974,,,090,,,,,,,,,,,,,,
